id,pondera_dem,region,sexo,edad,significado_cultura,concurre_museo,cuantas_veces_concurre_museo,frec_museo_historicos,frec_museo_cs_naturales,frec_museo_tecnologia,frec_museo_artes,frec_museo_antropologia_arquelogia,frec_museo_tematicos,pago_entrada_museo,gasto_museo,escucha_radio,escucha_musica,frec_escucha_musica,frec_genero_musica_folclore,frec_genero_musica_rock_extranjero,frec_genero_musica_rock_nacional,frec_genero_musica_clasica,frec_genero_musica_jazz,frec_genero_musica_cumbia,frec_genero_musica_reggaeton,frec_genero_musica_salsa,frec_genero_musica_melodica,frec_genero_musica_pop,frec_genero_musica_reggae,frec_genero_musica_electronica,frec_genero_musica_tango,frec_genero_musica_latinoamericana,concurre_recitales,frec_concurrir_recitales,cantidad_recitales,gasto_recitales,practica_musica,lee_diarios,lee_revistas,lee_libros,cuantos_libros_leyo,razon_ultima_lectura,otra_razon_ultima_lectura,cuantos_libros_compro,gasto_libros,frec_libros_papel,frec_libros_pantalla,pago_lectura_dispositivos,frec_libros_cuentos,frec_libros_novelas,frec_libros_poesia,frec_libros_ensayos,frec_libros_escolares,frec_libros_biografias,frec_libros_teatro,frec_libros_ciencia,frec_libros_comics,frec_libros_humor,frec_libros_autoayuda,frec_libros_historia,frec_libros_politica,frec_libros_salud,frec_libros_divulgacion,miro_tv,miro_peliculas_series_documentales,frec_audiovisual_animacion,frec_audiovisual_videos_musicales,frec_audiovisual_documentales,frec_audiovisual_humoristicos,frec_audiovisual_comedias,frec_audiovisual_peliculas,frec_audiovisual_series_novelas,gasto_audiovisual_streaming,concurre_cine,cuantas_veces_cine,razon_eleccion_pelicula,frec_cine_accion,frec_cine_aventura,frec_cine_scifi,frec_cine_suspenso,frec_cine_terror,frec_cine_drama,frec_cine_comedia,frec_cine_romantico,frec_cine_documental,frec_cine_infantiles,frec_cine_animacion,concurre_teatro,cuantas_veces_teatro,gasto_teatro,usa_internet,frec_usa_internet_mails,frec_usa_internet_noticias,frec_usa_internet_estudiar,frec_usa_internet_compras,frec_usa_internet_ver_youtubers,frec_usa_internet_leer_criticas_peliculas,frec_usa_internet_leer_criticas_libros,frec_usa_internet_buscar_activ_cultural,frec_usa_internet_tutoriales_musica,frec_usa_internet_tramites,horas_redes,minutos_redes,tipo_uso_internet,juega_videojuegos,participa_club,participa_centro_jubilados,participa_centro_religioso,participa_biblioteca,participa_local_politico,participa_colectividad_extranjera,participa_comunidad_indigenta,participa_cooperativa_barrial,participa_organizacion_social,concurre_boliches,tomo_clases_baile_canto,tomo_clases_actuacion,tomo_clases_arte,tomo_clases_literatura,tomo_clases_audiovisual,gasto_clases,nivel_estudios,entrevistadx_es_psh_hogar,situacion_psh,tiene_cobertura_medica_psh,hogar_tiene_internet,situacion_vivienda,NSEpuntaje,NSEcat1,horas_radio_total,horas_musica_total,horas_diario_total,horas_tv_total,horas_internet_total,horas_redes_total,horas_videojuegos_total,horas_consumo
1554,1362,NEA,Varón,54,"INFORMACION, ESTUDIAR, CONOCER",NO,,,,,,,,,,NO,SI,ALGUNAS VECES AL MES,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SECUNDARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,TRABAJA,NO,NO,PROPIA,56,C3,0,0.5,0,1,0,0,0,1.5
1936,24060,CENTRO,Mujer,70,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,NO,NO,,,,,,,,,,,,,,,,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,NS/NC,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,SI,PROPIA,36,D2,0,0,0,1.5,0,0,0,1.5
418,3202,NOA,Mujer,39,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,NO,SI,ALGUNOS DIAS POR SEMANA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,HABITUALMENTE,DE VEZ EN CUANDO,DE VEZ EN CUANDO,HABITUALMENTE,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,CASI NUNCA,CASI NUNCA,NO,,,,NO,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,NS/NC,NO,,,,,,,,,,,,,,NO,,,SI,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,0,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI,NO,NO,0,TERCIARIO INCOMPLETO,LA PERSONA QUE FUE ENTREVISTADA,TRABAJA,SI,NO,PROPIA,66,C3,0,0.5,0.333333333,0,0.75,0,0,1.583333333
256,1459,PATAGONIA,Mujer,13,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,SI,SI,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,HABITUALMENTE,NUNCA,NUNCA,CASI NUNCA,NUNCA,NO,,,,NO,SI,NO,SI,8,POR LA TEMATICA DEL LIBRO,,6,1500,ALGUNOS DIAS POR SEMANA,"NO LEYO LIBROS EN PANTALLA, SOLO EN PAPEL",,HABITUALMENTE,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,CASI NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,CASI NUNCA,NUNCA,NUNCA,NUNCA,SI,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,0,SI,3,VIO LOS AVANCES EN EL CINE,NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,CASI NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NO,,,SI,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,0,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,SI,NO,NO,NO,NO,6000,PRIMARIA INCOMPLETA,OTRO MIEMBRO DEL HOGAR,TRABAJA,SI,SI,PROPIA,78,C2,0.25,0.5,0.5,0.25,0.25,0,0,1.75
70,6501,NEA,Mujer,86,"EL ARTE, LO CULTO",NO,,,,,,,,,,NO,SI,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,TERCIARIO COMPLETO,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,58,C3,0,2,0,0,0,0,0,2
120,3369,NEA,Mujer,64,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,SI,NO,,,,,,,,,,,,,,,,NO,,,,NO,NO,SI,SI,4,"SE LO HABIA RECOMENDADO UN AMIGO, FAMILIAR O CONOCIDO",,0,0,ALGUNOS DIAS POR SEMANA,"NO LEYO LIBROS EN PANTALLA, SOLO EN PAPEL",,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,36,D2,1,0,0,1,0,0,0,2
165,1019,NEA,Varón,65,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES",NO,,,,,,,,,,NO,SI,TODOS O CASI TODOS LOS DIAS,HABITUALMENTE,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,DE VEZ EN CUANDO,CASI NUNCA,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NS/NC,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SECUNDARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,44,D1,0,1,0,1,0,0,0,2
389,2333,NOA,Mujer,57,NS/NC,NO,,,,,,,,,,SI,NO,,,,,,,,,,,,,,,,NO,,,,SI,NO,SI,SI,NS/NC,"SE LO HABIA RECOMENDADO UN PROFESOR, REFERENTE POLITICO, RELIGIOSO O ESPIRITUAL",,0,0,TODOS O CASI TODOS LOS DIAS,"NO LEYO LIBROS EN PANTALLA, SOLO EN PAPEL",,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,TRABAJA,SI,NO,PRESTADA,32,D2,1,0,0,1,0,0,0,2
510,9594,NOA,Mujer,63,NS/NC,NO,,,,,,,,,,SI,NO,,,,,,,,,,,,,,,,NO,,,,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SIN ESTUDIOS,OTRO MIEMBRO DEL HOGAR,ES JUBILADO/PENSIONADO,NO,NO,PROPIA,24,D2,1,0,0,1,0,0,0,2
613,19211,NOA,Varón,42,"HABITOS, COSTUMBRES, COMPORTAMIENTOS",NO,,,,,,,,,,SI,SI,ALGUNOS DIAS POR SEMANA,CASI NUNCA,CASI NUNCA,HABITUALMENTE,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,HABITUALMENTE,CASI NUNCA,CASI NUNCA,CASI NUNCA,CASI NUNCA,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,OTRO MIEMBRO DEL HOGAR,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,44,D1,0.5,0.5,0,1,0,0,0,2
644,4941,PATAGONIA,Varón,55,"HABITOS, COSTUMBRES, COMPORTAMIENTOS",NO,,,,,,,,,,NO,NO,,,,,,,,,,,,,,,,NO,,,,SI,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA INCOMPLETA,OTRO MIEMBRO DEL HOGAR,TRABAJA,NO,NO,PROPIA,36,D2,0,0,0,2,0,0,0,2
795,4214,PATAGONIA,Varón,75,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,NO,NO,,,,,,,,,,,,,,,,NO,,,,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SECUNDARIA INCOMPLETA,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,46,D1,0,0,0,2,0,0,0,2
948,8437,NOA,Mujer,55,TRABAJO,NO,,,,,,,,,,NO,NO,,,,,,,,,,,,,,,,NO,,,,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,SI,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,NO TRABAJA PERO RECIBE ALGÚN PLAN SOCIAL,SI,NO,PROPIA,30,D2,0,0,0,2,0,0,0,2
1030,5055,NOA,Mujer,88,"LA TRADICION, LA HISTORIA",NO,,,,,,,,,,NO,SI,ALGUNA VEZ CADA 3 MESES,CASI NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,NO,,,,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,NO,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,PRIMARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,36,D2,0,1,0.5,0.5,0,0,0,2
1529,2723,NEA,Mujer,48,"HABITOS, COSTUMBRES, COMPORTAMIENTOS",NO,,,,,,,,,,NO,NO,,,,,,,,,,,,,,,,NO,,,,NO,SI,NO,SI,11,NS/NC,,11,1000,NS/NC,"NO LEYO LIBROS EN PANTALLA, SOLO EN PAPEL",,CASI NUNCA,HABITUALMENTE,CASI NUNCA,CASI NUNCA,CASI NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,HABITUALMENTE,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,SI,NO,,,,,,,,0,NO,,,,,,,,,,,,,,NO,,,SI,,,,,,,,,,,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SECUNDARIA COMPLETA,OTRO MIEMBRO DEL HOGAR,ES JUBILADO/PENSIONADO,SI,NO,PROPIA,56,C3,0,0,1,1,0,0,0,2
